dataset,test_set,language_pair,metric,total_saved_annotations,mean_saved_annotations,num_valid_saving_pairs,num_retained_pair_metric_rows,num_original_pair_metric_rows,num_excluded_human_unreachable_pairs,ppsr,ppsr_num_pairs,num_retained_pairs,saving_rank,ppsr_rank
wmt23 en-zh,wmt23,en-zh,MetricX-23-refA:seg,229.0,2.6627906976744184,86,86,105,19,0.0691756756742834,86,86,21.0,25.0
wmt23 en-zh,wmt23,en-zh,Random-sysname-src:seg,68.0,0.7906976744186046,86,86,105,19,0.0008977996359980622,86,86,34.0,34.0
wmt23 en-zh,wmt23,en-zh,XCOMET-Ensemble-refA:seg,411.0,4.77906976744186,86,86,105,19,0.1264336780797592,86,86,5.0,16.0
wmt23 en-zh,wmt23,en-zh,XCOMET-QE-Ensemble-src:seg,338.0,3.9302325581395348,86,86,105,19,0.09796490966128148,86,86,10.0,18.0
wmt23 en-zh,wmt23,en-zh,XCOMET-XL-refA:seg,232.0,2.697674418604651,86,86,105,19,0.050042663484380884,86,86,20.0,27.0
wmt23 en-zh,wmt23,en-zh,XCOMET-XXL-refA:seg,206.0,2.395348837209302,86,86,105,19,0.060842975927069,86,86,23.0,26.0
wmt23 en-zh,wmt23,en-zh,XLsim-refA:seg,252.0,2.9302325581395348,86,86,105,19,0.14594285916909067,86,86,18.0,10.0
wmt23 en-zh,wmt23,en-zh,YiSi-1-refA:seg,301.0,3.5,86,86,105,19,0.14457740439732117,86,86,13.0,11.0
wmt23 en-zh,wmt23,en-zh,chrF-refA:seg,175.0,2.0348837209302326,86,86,105,19,0.04218326950128792,86,86,28.0,30.0
wmt23 en-zh,wmt23,en-zh,cometoid22-wmt21-src:seg,265.0,3.0813953488372094,86,86,105,19,0.14174859398791578,86,86,17.0,12.0
wmt23 en-zh,wmt23,en-zh,cometoid22-wmt22-src:seg,275.0,3.197674418604651,86,86,105,19,0.1473962135045586,86,86,15.0,9.0
wmt23 en-zh,wmt23,en-zh,cometoid22-wmt23-src:seg,351.0,4.0813953488372094,86,86,105,19,0.1729276465239277,86,86,9.0,6.0
wmt23 en-zh,wmt23,en-zh,eBLEU-refA:seg,117.0,1.3604651162790697,86,86,105,19,0.012942333449408004,86,86,32.0,32.0
wmt23 en-zh,wmt23,en-zh,embed_llama-refA:seg,127.0,1.4767441860465116,86,86,105,19,0.03400218155757727,86,86,31.0,31.0
wmt23 en-zh,wmt23,en-zh,f200spBLEU-refA:seg,193.0,2.244186046511628,86,86,105,19,0.044681807320078204,86,86,25.0,29.0
wmt23 en-zh,wmt23,en-zh,mre-score-labse-regular-refA:seg,220.0,2.558139534883721,86,86,105,19,0.09767686657073858,86,86,22.0,19.0
wmt23 en-zh,wmt23,en-zh,prismRef-refA:seg,275.0,3.197674418604651,86,86,105,19,0.13855515088037867,86,86,15.0,13.0
wmt23 en-zh,wmt23,en-zh,prismSrc-src:seg,153.0,1.7790697674418605,86,86,105,19,0.08600586553162061,86,86,30.0,22.0
wmt23 en-zh,wmt23,en-zh,tokengram_F-refA:seg,196.0,2.2790697674418605,86,86,105,19,0.04850679289559138,86,86,24.0,28.0
wmt23 ja-en,wmt23,ja-en,BERTscore-refA:seg,685.0,5.756302521008403,119,119,136,17,0.060327801226490514,119,119,14.0,18.0
wmt23 ja-en,wmt23,ja-en,BLEU-refA:seg,270.0,2.26890756302521,119,119,136,17,0.0165059420369118,119,119,31.0,32.0
wmt23 ja-en,wmt23,ja-en,BLEURT-20-refA:seg,1129.0,9.487394957983193,119,119,136,17,0.09813587271834037,119,119,2.0,3.0
wmt23 ja-en,wmt23,ja-en,COMET-refA:seg,1108.0,9.3109243697479,119,119,136,17,0.10131486968407108,119,119,3.0,2.0
wmt23 ja-en,wmt23,ja-en,CometKiwi-XL-src:seg,1016.0,8.53781512605042,119,119,136,17,0.08831422462030018,119,119,4.0,8.0
wmt23 ja-en,wmt23,ja-en,CometKiwi-XXL-src:seg,1134.0,9.529411764705882,119,119,136,17,0.10538100474801744,119,119,1.0,1.0
wmt23 ja-en,wmt23,ja-en,CometKiwi-src:seg,998.0,8.38655462184874,119,119,136,17,0.09567681993914023,119,119,5.0,5.0
wmt23 ja-en,wmt23,ja-en,GEMBA-MQM-src:seg,732.0,6.151260504201681,119,119,136,17,0.06579181192170326,119,119,13.0,16.0
wmt23 ja-en,wmt23,ja-en,KG-BERTScore-src:seg,997.0,8.378151260504202,119,119,136,17,0.0956941683588387,119,119,6.0,4.0
wmt23 ja-en,wmt23,ja-en,MS-COMET-QE-22-src:seg,636.0,5.34453781512605,119,119,136,17,0.06743006070117169,119,119,17.0,14.0
wmt23 ja-en,wmt23,ja-en,MaTESe-refA:seg,150.0,1.2605042016806722,119,119,136,17,0.014137388244336125,119,119,33.0,33.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-QE-b-src:seg,601.0,5.050420168067227,119,119,136,17,0.061325931120679626,119,119,20.0,17.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-QE-c-src:seg,749.0,6.294117647058823,119,119,136,17,0.06631731168161017,119,119,10.0,15.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-QE-src:seg,481.0,4.042016806722689,119,119,136,17,0.04689717630895582,119,119,27.0,23.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-b-refA:seg,584.0,4.907563025210084,119,119,136,17,0.050216208819755186,119,119,22.0,22.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-c-refA:seg,771.0,6.4789915966386555,119,119,136,17,0.09155243081037331,119,119,9.0,6.0
wmt23 ja-en,wmt23,ja-en,MetricX-23-refA:seg,484.0,4.067226890756302,119,119,136,17,0.0439587986221542,119,119,26.0,27.0
wmt23 ja-en,wmt23,ja-en,Random-sysname-src:seg,26.0,0.2184873949579832,119,119,136,17,0.0007247418210355363,119,119,34.0,35.0
wmt23 ja-en,wmt23,ja-en,XCOMET-Ensemble-refA:seg,960.0,8.067226890756302,119,119,136,17,0.08431059321187834,119,119,7.0,9.0
wmt23 ja-en,wmt23,ja-en,XCOMET-QE-Ensemble-src:seg,646.0,5.428571428571429,119,119,136,17,0.055888365399435175,119,119,16.0,21.0
wmt23 ja-en,wmt23,ja-en,XCOMET-XL-refA:seg,486.0,4.084033613445378,119,119,136,17,0.045162181681385354,119,119,25.0,25.0
wmt23 ja-en,wmt23,ja-en,XCOMET-XXL-refA:seg,622.0,5.226890756302521,119,119,136,17,0.056565169000249896,119,119,18.0,20.0
wmt23 ja-en,wmt23,ja-en,XLsim-refA:seg,590.0,4.957983193277311,119,119,136,17,0.05824996865929447,119,119,21.0,19.0
wmt23 ja-en,wmt23,ja-en,YiSi-1-refA:seg,746.0,6.26890756302521,119,119,136,17,0.0703676270355333,119,119,11.0,12.0
wmt23 ja-en,wmt23,ja-en,chrF-refA:seg,523.0,4.394957983193278,119,119,136,17,0.0458653915831705,119,119,23.0,24.0
wmt23 ja-en,wmt23,ja-en,cometoid22-wmt21-src:seg,619.0,5.201680672268908,119,119,136,17,0.07250637955509576,119,119,19.0,11.0
wmt23 ja-en,wmt23,ja-en,cometoid22-wmt22-src:seg,655.0,5.504201680672269,119,119,136,17,0.07455782653489587,119,119,15.0,10.0
wmt23 ja-en,wmt23,ja-en,cometoid22-wmt23-src:seg,875.0,7.352941176470588,119,119,136,17,0.09070992087083699,119,119,8.0,7.0
