dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MEE2-refA:seg,4.0,0.03139584941770371,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MEE4-refA:seg,4.0,0.04021204099177416,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MS-COMET-22-refA:seg,-1.0,0.016583447979867702,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MS-COMET-QE-22-src:seg,0.0,0.011121147854642386,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,REUSE-src:seg,-2.0,0.012625032366106532,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,SEScore-refA:seg,4.0,0.03131109645457709,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,UniTE-ref-refA:seg,11.0,0.10295946608500316,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,UniTE-refA:seg,12.0,0.11965268867730348,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,UniTE-src-src:seg,2.0,0.048356756004527574,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,YiSi-1-refA:seg,4.0,0.03607404075162171,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,chrF-refA:seg,4.0,0.02784092880110185,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,f101spBLEU-refA:seg,1.0,0.021455467507749758,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,f200spBLEU-refA:seg,0.0,0.024193122648500886,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,metricx_xl_DA_2019-refA:seg,15.0,0.1450300017389542,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,metricx_xl_MQM_2020-refA:seg,10.0,0.13266741358521894,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,metricx_xxl_DA_2019-refA:seg,11.0,0.13124294810403778,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,metricx_xxl_MQM_2020-refA:seg,10.0,0.11158503143249655,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,BERTScore-refA:seg,5.0,0.027824226312337042,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,BLEU-refA:seg,4.0,0.014961536823492497,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,BLEURT-20-refA:seg,11.0,0.09849953812758523,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,COMET-20-refA:seg,8.0,0.08048206847241872,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,COMET-22-refA:seg,12.0,0.12339017661873744,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,COMET-QE-src:seg,4.0,0.04722085267279647,brentq
